epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,22.5546,0.66382,0.70161,1,1.07388,0.0712,0.0032,0.0032
2,36.1058,0.58951,0.5,1,3.91064,0.0414984,0.00649841,0.00649841
3,46.3838,0.5862,0.54839,1,2.83337,0.0117904,0.00979043,0.00979043
4,56.821,0.53827,0.68548,1,1.38526,0.00997803,0.00997803,0.00997803
5,66.9971,0.48414,0.73387,1,0.52757,0.00996097,0.00996097,0.00996097
6,85.6045,0.45073,0.53226,1,2.79299,0.00993906,0.00993906,0.00993906
7,97.3684,0.49109,0.6129,1,1.00152,0.00991232,0.00991232,0.00991232
8,110.207,0.36522,0.82258,1,0.42487,0.00988079,0.00988079,0.00988079
9,122.082,0.40194,0.78226,1,0.9901,0.00984449,0.00984449,0.00984449
10,133.329,0.33326,0.70968,1,0.67673,0.00980345,0.00980345,0.00980345
11,145.111,0.32889,0.83871,1,0.36593,0.00975773,0.00975773,0.00975773
12,156.206,0.37594,0.66935,1,0.95114,0.00970736,0.00970736,0.00970736
13,168.074,0.33082,0.71774,1,0.92642,0.00965239,0.00965239,0.00965239
14,179.04,0.25196,0.75806,1,0.6119,0.00959289,0.00959289,0.00959289
15,189.923,0.2627,0.70161,1,1.25446,0.00952889,0.00952889,0.00952889
16,201.088,0.29104,0.75806,1,0.52708,0.00946048,0.00946048,0.00946048
17,211.476,0.28846,0.77419,1,0.6472,0.00938772,0.00938772,0.00938772
18,221.871,0.27241,0.79032,1,0.78125,0.00931067,0.00931067,0.00931067
19,232.277,0.29526,0.85484,1,0.6338,0.00922942,0.00922942,0.00922942
20,242.777,0.26691,0.87097,1,0.31748,0.00914405,0.00914405,0.00914405
21,253.515,0.28537,0.93548,1,0.20388,0.00905463,0.00905463,0.00905463
22,264.121,0.25659,0.79839,1,0.58284,0.00896127,0.00896127,0.00896127
23,274.442,0.24123,0.77419,1,0.5994,0.00886404,0.00886404,0.00886404
24,284.937,0.20467,0.75,1,1.27002,0.00876305,0.00876305,0.00876305
25,295.52,0.21173,0.80645,1,0.50257,0.00865839,0.00865839,0.00865839
26,305.869,0.22515,0.90323,1,0.2658,0.00855018,0.00855018,0.00855018
27,316.444,0.18735,0.8629,1,0.33995,0.00843851,0.00843851,0.00843851
28,326.705,0.20309,0.72581,1,0.77542,0.00832349,0.00832349,0.00832349
29,337.38,0.15751,0.84677,1,0.51501,0.00820525,0.00820525,0.00820525
30,347.664,0.12224,0.80645,1,0.77629,0.00808389,0.00808389,0.00808389
31,358.344,0.20598,0.83065,1,0.57473,0.00795954,0.00795954,0.00795954
32,369.192,0.22988,0.8629,1,0.28255,0.00783231,0.00783231,0.00783231
33,380.367,0.20373,0.83871,1,0.57288,0.00770234,0.00770234,0.00770234
34,392.471,0.15753,0.89516,1,0.27349,0.00756976,0.00756976,0.00756976
35,403.154,0.13826,0.80645,1,0.64656,0.00743468,0.00743468,0.00743468
36,413.909,0.17579,0.8629,1,0.51468,0.00729725,0.00729725,0.00729725
37,424.528,0.1823,0.8871,1,0.47767,0.00715761,0.00715761,0.00715761
38,435.367,0.16521,0.78226,1,0.9614,0.00701588,0.00701588,0.00701588
39,445.938,0.15608,0.89516,1,0.26172,0.00687222,0.00687222,0.00687222
40,456.434,0.14242,0.8871,1,0.23811,0.00672675,0.00672675,0.00672675
41,467.102,0.17119,0.91129,1,0.25545,0.00657963,0.00657963,0.00657963
42,477.736,0.1015,0.8871,1,0.38454,0.00643101,0.00643101,0.00643101
43,488.3,0.11967,0.87903,1,0.3172,0.00628101,0.00628101,0.00628101
44,499.345,0.16146,0.89516,1,0.34033,0.00612981,0.00612981,0.00612981
45,509.78,0.14451,0.91129,1,0.20607,0.00597754,0.00597754,0.00597754
46,520.289,0.15294,0.8871,1,0.29457,0.00582435,0.00582435,0.00582435
47,530.686,0.12588,0.85484,1,0.39195,0.0056704,0.0056704,0.0056704
48,541.327,0.10251,0.93548,1,0.19646,0.00551584,0.00551584,0.00551584
49,551.88,0.09842,0.89516,1,0.21914,0.00536081,0.00536081,0.00536081
50,562.631,0.10051,0.89516,1,0.29701,0.00520548,0.00520548,0.00520548
51,572.946,0.07948,0.92742,1,0.19188,0.00505,0.00505,0.00505
52,583.223,0.11093,0.87097,1,0.41921,0.00489452,0.00489452,0.00489452
53,593.448,0.12656,0.92742,1,0.24,0.00473919,0.00473919,0.00473919
54,603.719,0.13487,0.87097,1,0.46433,0.00458416,0.00458416,0.00458416
55,614.109,0.1137,0.8629,1,0.3279,0.0044296,0.0044296,0.0044296
56,624.423,0.09106,0.93548,1,0.18783,0.00427565,0.00427565,0.00427565
57,634.653,0.08744,0.8871,1,0.30537,0.00412246,0.00412246,0.00412246
58,644.912,0.08392,0.87097,1,0.32463,0.00397019,0.00397019,0.00397019
59,655.291,0.0807,0.90323,1,0.36416,0.00381899,0.00381899,0.00381899
60,666.051,0.08357,0.90323,1,0.27796,0.00366899,0.00366899,0.00366899
61,676.679,0.07553,0.87097,1,0.35024,0.00352037,0.00352037,0.00352037
62,687.031,0.08414,0.91935,1,0.2625,0.00337325,0.00337325,0.00337325
63,697.296,0.07713,0.91935,1,0.25843,0.00322778,0.00322778,0.00322778
64,707.637,0.06556,0.91935,1,0.26318,0.00308412,0.00308412,0.00308412
65,717.938,0.05394,0.8629,1,0.35029,0.00294239,0.00294239,0.00294239
66,728.166,0.06401,0.92742,1,0.18599,0.00280275,0.00280275,0.00280275
